method,nprobe,recall,qps,build_time
JHQ-CPU-IVF,1,0.825,5177.1,107.21
JHQ-CPU-IVF,2,0.9291,4723.9,107.21
JHQ-CPU-IVF,4,0.975,3880.7,107.21
JHQ-CPU-IVF,8,0.9941,2516.5,107.21
JHQ-CPU-IVF,16,0.9988,1523.1,107.21
JHQ-CPU-IVF,32,0.9997,866.0,107.21
JHQ-CPU-IVF,64,1.0,475.8,107.21
JHQ-CPU-IVF,128,1.0,243.9,107.21
JQ-CPU-IVF,1,0.7958,10728.4,107.21
JQ-CPU-IVF,2,0.8982,4864.6,107.21
JQ-CPU-IVF,4,0.9477,3958.5,107.21
JQ-CPU-IVF,8,0.9713,2559.6,107.21
JQ-CPU-IVF,16,0.9818,1566.7,107.21
JQ-CPU-IVF,32,0.9873,886.0,107.21
JQ-CPU-IVF,64,0.9894,482.5,107.21
JQ-CPU-IVF,128,0.9897,239.9,107.21
