method,nprobe,recall,qps,build_time
JHQ-CPU-IVF,1,0.9127,7746.8,27.93
JHQ-CPU-IVF,2,0.9809,6058.9,27.93
JHQ-CPU-IVF,4,0.9975,7731.9,27.93
JHQ-CPU-IVF,8,1.0,5501.3,27.93
JHQ-CPU-IVF,16,1.0,4316.5,27.93
JHQ-CPU-IVF,32,1.0,2969.3,27.93
JHQ-CPU-IVF,64,1.0,1748.1,27.93
JHQ-CPU-IVF,128,1.0,1031.4,27.93
JQ-CPU-IVF,1,0.7992,57545.5,27.93
JQ-CPU-IVF,2,0.8971,39677.4,27.93
JQ-CPU-IVF,4,0.9421,18696.7,27.93
JQ-CPU-IVF,8,0.9568,5868.0,27.93
JQ-CPU-IVF,16,0.9645,4458.9,27.93
JQ-CPU-IVF,32,0.9662,2912.3,27.93
JQ-CPU-IVF,64,0.9665,1796.3,27.93
JQ-CPU-IVF,128,0.9664,1027.9,27.93
