
=== 2026-09-10T21:12:50Z head=0fd9285 Two runs for the four ranges no generator can produce ===
21:12:51 ########## the 2x2, six datasets ##########
  vogue-768 M=96 layout=byte G=1 np=8 recall=0.6606 qps=253778 rc=0
  vogue-768 M=96 layout=byte G=2 np=8 recall=0.6606 qps=262774 rc=0
  vogue-768 M=96 layout=word G=1 np=8 recall=0.6605 qps=260488 rc=0
  vogue-768 M=96 layout=word G=2 np=8 recall=0.6606 qps=268222 rc=0
  vogue-768 M=96 layout=byte G=1 np=32 recall=0.8618 qps=198185 rc=0
  vogue-768 M=96 layout=byte G=2 np=32 recall=0.8618 qps=201751 rc=0
  vogue-768 M=96 layout=word G=1 np=32 recall=0.8618 qps=213902 rc=0
  vogue-768 M=96 layout=word G=2 np=32 recall=0.8618 qps=217694 rc=0
  vogue-768 M=96 layout=byte G=1 np=128 recall=0.9647 qps=114947 rc=0
  vogue-768 M=96 layout=byte G=2 np=128 recall=0.9647 qps=117043 rc=0
  vogue-768 M=96 layout=word G=1 np=128 recall=0.9646 qps=133936 rc=0
  vogue-768 M=96 layout=word G=2 np=128 recall=0.9647 qps=137932 rc=0
  vogue-768 M=96 layout=byte G=1 np=512 recall=0.9908 qps=54660 rc=0
  vogue-768 M=96 layout=byte G=2 np=512 recall=0.9908 qps=58867 rc=0
  vogue-768 M=96 layout=word G=1 np=512 recall=0.9908 qps=67625 rc=0
  vogue-768 M=96 layout=word G=2 np=512 recall=0.9908 qps=74540 rc=0
  arxiv-768 M=96 layout=byte G=1 np=8 recall=0.7899 qps=253662 rc=0
  arxiv-768 M=96 layout=byte G=2 np=8 recall=0.7899 qps=262603 rc=0
  arxiv-768 M=96 layout=word G=1 np=8 recall=0.7899 qps=262451 rc=0
  arxiv-768 M=96 layout=word G=2 np=8 recall=0.7899 qps=269249 rc=0
  arxiv-768 M=96 layout=byte G=1 np=32 recall=0.9257 qps=170223 rc=0
  arxiv-768 M=96 layout=byte G=2 np=32 recall=0.9257 qps=173376 rc=0
  arxiv-768 M=96 layout=word G=1 np=32 recall=0.9257 qps=181486 rc=0
  arxiv-768 M=96 layout=word G=2 np=32 recall=0.9257 qps=182478 rc=0
  arxiv-768 M=96 layout=byte G=1 np=128 recall=0.9763 qps=105526 rc=0
  arxiv-768 M=96 layout=byte G=2 np=128 recall=0.9763 qps=107030 rc=0
  arxiv-768 M=96 layout=word G=1 np=128 recall=0.9763 qps=122853 rc=0
  arxiv-768 M=96 layout=word G=2 np=128 recall=0.9763 qps=121527 rc=0
  arxiv-768 M=96 layout=byte G=1 np=512 recall=0.9881 qps=48482 rc=0
  arxiv-768 M=96 layout=byte G=2 np=512 recall=0.9881 qps=49184 rc=0
  arxiv-768 M=96 layout=word G=1 np=512 recall=0.9881 qps=61594 rc=0
  arxiv-768 M=96 layout=word G=2 np=512 recall=0.9881 qps=61795 rc=0
  openai3-1536 M=192 layout=byte G=1 np=8 recall=0.7575 qps=161248 rc=0
  openai3-1536 M=192 layout=byte G=2 np=8 recall=0.7575 qps=177719 rc=0
  openai3-1536 M=192 layout=word G=1 np=8 recall=0.7575 qps=166529 rc=0
  openai3-1536 M=192 layout=word G=2 np=8 recall=0.7575 qps=182489 rc=0
  openai3-1536 M=192 layout=byte G=1 np=32 recall=0.8756 qps=115725 rc=0
  openai3-1536 M=192 layout=byte G=2 np=32 recall=0.8756 qps=145077 rc=0
  openai3-1536 M=192 layout=word G=1 np=32 recall=0.8756 qps=136710 rc=0
  openai3-1536 M=192 layout=word G=2 np=32 recall=0.8756 qps=157369 rc=0
  openai3-1536 M=192 layout=byte G=1 np=128 recall=0.9473 qps=56368 rc=0
  openai3-1536 M=192 layout=byte G=2 np=128 recall=0.9473 qps=88930 rc=0
  openai3-1536 M=192 layout=word G=1 np=128 recall=0.9473 qps=79839 rc=0
  openai3-1536 M=192 layout=word G=2 np=128 recall=0.9473 qps=108850 rc=0
  openai3-1536 M=192 layout=byte G=1 np=512 recall=0.9830 qps=18361 rc=0
  openai3-1536 M=192 layout=byte G=2 np=512 recall=0.9830 qps=36085 rc=0
  openai3-1536 M=192 layout=word G=1 np=512 recall=0.9830 qps=24508 rc=0
  openai3-1536 M=192 layout=word G=2 np=512 recall=0.9830 qps=50181 rc=0
  openai3-3072 M=384 layout=byte G=1 np=8 recall=0.7464 qps=80894 rc=0
  openai3-3072 M=384 layout=byte G=2 np=8 recall=0.7464 qps=85398 rc=0
  openai3-3072 M=384 layout=word G=1 np=8 recall=0.7464 qps=81846 rc=0
  openai3-3072 M=384 layout=word G=2 np=8 recall=0.7464 qps=90721 rc=0
  openai3-3072 M=384 layout=byte G=1 np=32 recall=0.8648 qps=57581 rc=0
  openai3-3072 M=384 layout=byte G=2 np=32 recall=0.8648 qps=63607 rc=0
  openai3-3072 M=384 layout=word G=1 np=32 recall=0.8648 qps=59347 rc=0
  openai3-3072 M=384 layout=word G=2 np=32 recall=0.8648 qps=75090 rc=0
  openai3-3072 M=384 layout=byte G=1 np=128 recall=0.9414 qps=26769 rc=0
  openai3-3072 M=384 layout=byte G=2 np=128 recall=0.9414 qps=32876 rc=0
  openai3-3072 M=384 layout=word G=1 np=128 recall=0.9414 qps=28556 rc=0
  openai3-3072 M=384 layout=word G=2 np=128 recall=0.9414 qps=46796 rc=0
  openai3-3072 M=384 layout=byte G=1 np=512 recall=0.9814 qps=8770 rc=0
  openai3-3072 M=384 layout=byte G=2 np=512 recall=0.9814 qps=11471 rc=0
  openai3-3072 M=384 layout=word G=1 np=512 recall=0.9814 qps=9541 rc=0
  openai3-3072 M=384 layout=word G=2 np=512 recall=0.9814 qps=19020 rc=0
  bge-m3 M=128 layout=byte G=1 np=8 recall=0.7118 qps=176052 rc=0
  bge-m3 M=128 layout=byte G=2 np=8 recall=0.7118 qps=188446 rc=0
  bge-m3 M=128 layout=word G=1 np=8 recall=0.7118 qps=186272 rc=0
  bge-m3 M=128 layout=word G=2 np=8 recall=0.7118 qps=199599 rc=0
  bge-m3 M=128 layout=byte G=1 np=32 recall=0.8473 qps=111037 rc=0
  bge-m3 M=128 layout=byte G=2 np=32 recall=0.8473 qps=131164 rc=0
  bge-m3 M=128 layout=word G=1 np=32 recall=0.8473 qps=131876 rc=0
  bge-m3 M=128 layout=word G=2 np=32 recall=0.8473 qps=148711 rc=0
  bge-m3 M=128 layout=byte G=1 np=128 recall=0.9313 qps=46733 rc=0
  bge-m3 M=128 layout=byte G=2 np=128 recall=0.9313 qps=64489 rc=0
  bge-m3 M=128 layout=word G=1 np=128 recall=0.9313 qps=64639 rc=0
  bge-m3 M=128 layout=word G=2 np=128 recall=0.9313 qps=80151 rc=0
  bge-m3 M=128 layout=byte G=1 np=512 recall=0.9764 qps=14274 rc=0
  bge-m3 M=128 layout=byte G=2 np=512 recall=0.9764 qps=21558 rc=0
  bge-m3 M=128 layout=word G=1 np=512 recall=0.9764 qps=20861 rc=0
  bge-m3 M=128 layout=word G=2 np=512 recall=0.9764 qps=27878 rc=0
  stella M=128 layout=byte G=1 np=8 recall=0.9027 qps=172971 rc=0
  stella M=128 layout=byte G=2 np=8 recall=0.9027 qps=181283 rc=0
  stella M=128 layout=word G=1 np=8 recall=0.9027 qps=179502 rc=0
  stella M=128 layout=word G=2 np=8 recall=0.9027 qps=186389 rc=0
  stella M=128 layout=byte G=1 np=32 recall=0.9688 qps=126209 rc=0
  stella M=128 layout=byte G=2 np=32 recall=0.9688 qps=139265 rc=0
  stella M=128 layout=word G=1 np=32 recall=0.9688 qps=140731 rc=0
  stella M=128 layout=word G=2 np=32 recall=0.9688 qps=152350 rc=0
  stella M=128 layout=byte G=1 np=128 recall=0.9893 qps=61952 rc=0
  stella M=128 layout=byte G=2 np=128 recall=0.9893 qps=75258 rc=0
  stella M=128 layout=word G=1 np=128 recall=0.9893 qps=77086 rc=0
  stella M=128 layout=word G=2 np=128 recall=0.9893 qps=88693 rc=0
  stella M=128 layout=byte G=1 np=512 recall=0.9949 qps=18634 rc=0
  stella M=128 layout=byte G=2 np=512 recall=0.9949 qps=24296 rc=0
  stella M=128 layout=word G=1 np=512 recall=0.9949 qps=24843 rc=0
  stella M=128 layout=word G=2 np=512 recall=0.9949 qps=29865 rc=0
=== LAYOUT6_DONE 2026-09-10T21:26:13Z ===
