# JHQ fronts re-measured at the GPU operating point, 2026-09-04 (asg24).
# alpha=32 (the knee measured in asg25), equation 4 codebook, kmeans_iters=5,
# ivf_iters=8, k=10, batch 1024, RTX 5090. FAIL rows are out-of-memory at that nlist.
dataset,d,N,M,B,Br,nlist,nprobe,alpha,recall,qps,train_ms,add_ms
vogue-768,768,932328,96,8,4,1024,2,32.0,0.5608,137850,219.4,566.4
vogue-768,768,932328,96,8,4,1024,8,32.0,0.7637,133547,17.6,240.7
vogue-768,768,932328,96,8,4,1024,32,32.0,0.8902,110404,17.7,243.0
vogue-768,768,932328,96,8,4,1024,64,32.0,0.9188,85628,17.9,243.2
vogue-768,768,932328,96,8,4,1024,128,32.0,0.9341,57112,17.6,241.0
vogue-768,768,932328,96,8,4,1024,256,32.0,0.9392,31884,17.6,266.3
vogue-768,768,932328,96,8,4,4096,2,32.0,0.4325,221412,133.7,236.8
vogue-768,768,932328,96,8,4,4096,8,32.0,0.6852,177106,27.6,264.4
vogue-768,768,932328,96,8,4,4096,32,32.0,0.8366,140339,25.5,248.3
vogue-768,768,932328,96,8,4,4096,64,32.0,0.8844,118562,24.9,248.2
vogue-768,768,932328,96,8,4,4096,128,32.0,0.9157,94007,25.1,247.9
vogue-768,768,932328,96,8,4,4096,256,32.0,0.9313,61395,24.5,247.3
vogue-768,768,932328,96,8,4,16384,2,32.0,0.3041,290921,241.7,345.7
vogue-768,768,932328,96,8,4,16384,8,32.0,0.5546,229168,56.9,345.4
vogue-768,768,932328,96,8,4,16384,32,32.0,0.7738,163860,58.8,351.5
vogue-768,768,932328,96,8,4,16384,64,32.0,0.8406,130660,58.6,346.8
vogue-768,768,932328,96,8,4,16384,128,32.0,0.8846,105036,56.7,358.8
vogue-768,768,932328,96,8,4,16384,256,32.0,0.9115,76721,63.5,351.3
arxiv-768,768,2253000,96,8,4,1024,2,32.0,0.6429,387213,366.8,2570.3
arxiv-768,768,2253000,96,8,4,1024,8,32.0,0.8348,211067,12.5,354.4
arxiv-768,768,2253000,96,8,4,1024,32,32.0,0.9051,97530,12.4,341.0
arxiv-768,768,2253000,96,8,4,1024,64,32.0,0.9162,61322,12.8,344.9
arxiv-768,768,2253000,96,8,4,1024,128,32.0,0.9195,33479,20.3,360.4
arxiv-768,768,2253000,96,8,4,1024,256,32.0,0.9203,15547,13.7,354.1
arxiv-768,768,2253000,96,8,4,4096,2,32.0,0.5659,511794,161.6,449.0
arxiv-768,768,2253000,96,8,4,4096,8,32.0,0.7900,351233,18.7,413.6
arxiv-768,768,2253000,96,8,4,4096,32,32.0,0.8879,168580,19.2,443.0
arxiv-768,768,2253000,96,8,4,4096,64,32.0,0.9066,115672,19.0,449.6
arxiv-768,768,2253000,96,8,4,4096,128,32.0,0.9157,70955,19.1,435.8
arxiv-768,768,2253000,96,8,4,4096,256,32.0,0.9182,37800,18.7,423.2
arxiv-768,768,2253000,96,8,4,16384,2,32.0,0.4739,431290,265.9,614.0
