method,nprobe,recall,qps,build_time,pre_v15_score

JHQ-GPU-v15-EvalFix,1,0.4765,7243.0,61.782199999999996,0.6903

JHQ-GPU-v15-EvalFix,2,0.6315,4881.0,61.782199999999996,0.8435

JHQ-GPU-v15-EvalFix,4,0.7514,3686.0,61.782199999999996,0.9361

JHQ-GPU-v15-EvalFix,8,0.8275,2467.0,61.782199999999996,0.9749

JHQ-GPU-v15-EvalFix,16,0.8773,1566.0,61.782199999999996,0.9928

JHQ-GPU-v15-EvalFix,32,0.9076,1059.0,61.782199999999996,0.9973

JHQ-GPU-v15-EvalFix,64,0.9228,719.0,61.782199999999996,0.9982

JHQ-GPU-v15-EvalFix,128,0.9327,496.0,61.782199999999996,0.9988
