method,nprobe,recall,qps,build_time,pre_v15_score

JHQ-GPU-v15-EvalFix,1,0.507,122208.0,108.49210000000001,0.7449

JHQ-GPU-v15-EvalFix,2,0.6315,90589.0,108.49210000000001,0.8709

JHQ-GPU-v15-EvalFix,4,0.7226,61930.0,108.49210000000001,0.9359

JHQ-GPU-v15-EvalFix,8,0.7972,42271.0,108.49210000000001,0.9733

JHQ-GPU-v15-EvalFix,16,0.8605,25795.0,108.49210000000001,0.9922

JHQ-GPU-v15-EvalFix,32,0.9042,14663.0,108.49210000000001,0.9984

JHQ-GPU-v15-EvalFix,64,0.9352,7993.0,108.49210000000001,0.9995

JHQ-GPU-v15-EvalFix,128,0.9568,4162.0,108.49210000000001,0.9999
