method,ck,probed,rerank_r,recall,qps,build_time
FAISS-IVFPQ-96B,1,1,0,0.3759,38410.432521039955,66.02699327468872
FAISS-IVFPQ-96B,2,2,0,0.4713,33608.205128205125,66.02699327468872
FAISS-IVFPQ-96B,4,4,0,0.5483,23776.155276404697,66.02699327468872
FAISS-IVFPQ-96B,8,8,0,0.5962,23188.83655100732,66.02699327468872
FAISS-IVFPQ-96B,16,16,0,0.6236,21396.235270111716,66.02699327468872
FAISS-IVFPQ-96B,32,32,0,0.6345,14476.095810036584,66.02699327468872
FAISS-IVFPQ-96B,64,64,0,0.6412,6779.856524451945,66.02699327468872
FAISS-IVFPQ-96B,128,128,0,0.6436,4075.6852563006264,66.02699327468872
FAISS-IVFPQ-192B,1,1,0,0.4248,30432.319479916416,67.16358852386475
FAISS-IVFPQ-192B,2,2,0,0.5535,27149.531681867316,67.16358852386475
FAISS-IVFPQ-192B,4,4,0,0.6651,20791.98124197554,67.16358852386475
FAISS-IVFPQ-192B,8,8,0,0.7424,17128.347115875447,67.16358852386475
FAISS-IVFPQ-192B,16,16,0,0.7921,12579.943133420513,67.16358852386475
FAISS-IVFPQ-192B,32,32,0,0.8197,7659.654043945769,67.16358852386475
FAISS-IVFPQ-192B,64,64,0,0.8326,4072.950441592744,67.16358852386475
FAISS-IVFPQ-192B,128,128,0,0.8392,2260.390630136573,67.16358852386475
FAISS-IVFPQ-384B,1,1,0,0.4396,21398.74596315438,73.63816690444946
FAISS-IVFPQ-384B,2,2,0,0.5826,18957.906012845604,73.63816690444946
FAISS-IVFPQ-384B,4,4,0,0.71,13564.931662796489,73.63816690444946
FAISS-IVFPQ-384B,8,8,0,0.8071,9766.119098899819,73.63816690444946
FAISS-IVFPQ-384B,16,16,0,0.8732,6345.497428852825,73.63816690444946
FAISS-IVFPQ-384B,32,32,0,0.9139,2983.8574624821704,73.63816690444946
FAISS-IVFPQ-384B,64,64,0,0.9343,1869.2193878460523,73.63816690444946
FAISS-IVFPQ-384B,128,128,0,0.9458,955.7639165341782,73.63816690444946
JQ+IVF,1,1,0,0.7427,8456.5,64.68
JQ+IVF,2,2,0,0.8328,8893.9,64.68
JQ+IVF,4,4,0,0.8695,8099.7,64.68
JQ+IVF,8,8,0,0.8901,5249.0,64.68
JQ+IVF,16,16,0,0.904,5594.6,64.68
JQ+IVF,32,32,0,0.9046,4216.8,64.68
JQ+IVF,64,64,0,0.907,3385.9,64.68
JQ+IVF,128,128,0,0.9086,2682.7,64.68
JHQ+IVF,1,1,0,0.9086,12014.8,79.28
JHQ+IVF,2,2,0,0.9773,10077.5,79.28
JHQ+IVF,4,4,0,0.993,6563.8,79.28
JHQ+IVF,8,8,0,0.999,9217.0,79.28
JHQ+IVF,16,16,0,1.0,7834.5,79.28
JHQ+IVF,32,32,0,0.9999,4897.6,79.28
JHQ+IVF,64,64,0,0.9999,3963.7,79.28
JHQ+IVF,128,128,0,1.0,2652.9,79.28
