method,ck,probed,rerank_r,recall,qps,build_time
FAISS-IVFPQ-96B,1,1,0,0.3727,9835.925023509299,17.783087253570557
FAISS-IVFPQ-96B,2,2,0,0.4477,9696.243382573919,17.783087253570557
FAISS-IVFPQ-96B,4,4,0,0.5154,9190.638236331724,17.783087253570557
FAISS-IVFPQ-96B,8,8,0,0.5783,8968.358571495774,17.783087253570557
FAISS-IVFPQ-96B,16,16,0,0.6195,7986.427484724256,17.783087253570557
FAISS-IVFPQ-96B,32,32,0,0.6469,6325.162792521346,17.783087253570557
FAISS-IVFPQ-96B,64,64,0,0.6615,4684.834255562977,17.783087253570557
FAISS-IVFPQ-96B,128,128,0,0.6668,2633.177388207937,17.783087253570557
FAISS-IVFPQ-192B,1,1,0,0.4231,3855.381286486278,21.6395161151886
FAISS-IVFPQ-192B,2,2,0,0.5137,3877.4826478125333,21.6395161151886
FAISS-IVFPQ-192B,4,4,0,0.5997,3604.911744508151,21.6395161151886
FAISS-IVFPQ-192B,8,8,0,0.6892,2849.0545275218824,21.6395161151886
FAISS-IVFPQ-192B,16,16,0,0.7501,3196.85124591181,21.6395161151886
FAISS-IVFPQ-192B,32,32,0,0.792,2569.3134476106934,21.6395161151886
FAISS-IVFPQ-192B,64,64,0,0.8193,1803.0974573611686,21.6395161151886
FAISS-IVFPQ-192B,128,128,0,0.8297,1278.853371824213,21.6395161151886
FAISS-IVFPQ-384B,1,1,0,0.4527,1378.8384998772153,31.5077486038208
FAISS-IVFPQ-384B,2,2,0,0.5514,1377.2316825701207,31.5077486038208
FAISS-IVFPQ-384B,4,4,0,0.6474,1430.8184274964676,31.5077486038208
FAISS-IVFPQ-384B,8,8,0,0.7482,1348.102893229247,31.5077486038208
FAISS-IVFPQ-384B,16,16,0,0.8229,1146.060477222811,31.5077486038208
FAISS-IVFPQ-384B,32,32,0,0.8804,953.9833080942597,31.5077486038208
FAISS-IVFPQ-384B,64,64,0,0.9146,686.3016975654582,31.5077486038208
FAISS-IVFPQ-384B,128,128,0,0.9303,467.0591802603071,31.5077486038208
JQ+IVF,1,1,0,0.7384,39337.0,15.83
JQ+IVF,2,2,0,0.849,12887.4,15.83
JQ+IVF,4,4,0,0.9109,29039.9,15.83
JQ+IVF,8,8,0,0.9401,10587.4,15.83
JQ+IVF,16,16,0,0.9549,5728.8,15.83
JQ+IVF,32,32,0,0.9629,4780.4,15.83
JQ+IVF,64,64,0,0.9655,3321.0,15.83
JQ+IVF,128,128,0,0.9659,2502.8,15.83
JHQ+IVF,1,1,0,0.8522,14703.8,34.37
JHQ+IVF,2,2,0,0.9567,11199.5,34.37
JHQ+IVF,4,4,0,0.9922,10624.2,34.37
JHQ+IVF,8,8,0,0.9984,9927.8,34.37
JHQ+IVF,16,16,0,1.0,8111.6,34.37
JHQ+IVF,32,32,0,1.0,4900.0,34.37
JHQ+IVF,64,64,0,1.0,3862.6,34.37
JHQ+IVF,128,128,0,1.0,2512.0,34.37
