method,param,recall,qps,build_s,bytes_per_vec
cuVS-IVFPQ-48B,1,0.25939999999999996,799829.1380625477,1.0896880626678467,48
cuVS-IVFPQ-48B,8,0.47220000000000006,485339.50474427216,1.0896880626678467,48
cuVS-IVFPQ-48B,32,0.5168999999999999,188211.9811532421,1.0896880626678467,48
cuVS-IVFPQ-48B,128,0.5231,54940.25647407097,1.0896880626678467,48
cuVS-IVFPQ-96B,1,0.28959999999999997,784421.9188329905,1.5786924362182617,96
cuVS-IVFPQ-96B,8,0.5873999999999999,375665.3828929691,1.5786924362182617,96
cuVS-IVFPQ-96B,32,0.674,167664.8544931244,1.5786924362182617,96
cuVS-IVFPQ-96B,128,0.6946,49517.18927087269,1.5786924362182617,96
cuVS-IVFPQ-192B,1,0.3164,771863.0842841369,2.198986053466797,192
cuVS-IVFPQ-192B,8,0.6819,366538.84470855544,2.198986053466797,192
cuVS-IVFPQ-192B,32,0.8148,140254.27186089283,2.198986053466797,192
cuVS-IVFPQ-192B,128,0.8494999999999999,41462.489743868566,2.198986053466797,192
cuVS-IVFPQ-384B,1,0.30979999999999996,539807.4646074646,4.523393154144287,384
cuVS-IVFPQ-384B,8,0.73,231256.76793295474,4.523393154144287,384
cuVS-IVFPQ-384B,32,0.8912000000000001,77877.08418433659,4.523393154144287,384
cuVS-IVFPQ-384B,128,0.9441,20906.917624540172,4.523393154144287,384
