method,M,nprobe,recall,qps,build_s,bytes_per_vec
GPU-Flat,3072,0,1.0,14441.00756083789,0.0,3072
FAISS-GPU-IVFPQ-48B,48,1,0.3402,1173231.8881118882,256.08004999160767,48
FAISS-GPU-IVFPQ-48B,48,2,0.40549999999999997,1185501.4132278124,256.08004999160767,48
FAISS-GPU-IVFPQ-48B,48,4,0.45220000000000005,916787.7595628415,256.08004999160767,48
FAISS-GPU-IVFPQ-48B,48,8,0.47409999999999997,605675.6678700361,256.08004999160767,48
FAISS-GPU-IVFPQ-48B,48,16,0.48339999999999994,398698.09885931556,256.08004999160767,48
FAISS-GPU-IVFPQ-48B,48,32,0.4862,212133.52215253894,256.08004999160767,48
FAISS-GPU-IVFPQ-48B,48,64,0.48710000000000003,115523.2875203129,256.08004999160767,48
FAISS-GPU-IVFPQ-48B,48,128,0.48719999999999997,58507.755830822454,256.08004999160767,48
FAISS-GPU-IVFPQ-96B,96,1,0.4096,925690.576031781,502.47320079803467,96
FAISS-GPU-IVFPQ-96B,96,2,0.5042,775717.403366007,502.47320079803467,96
FAISS-GPU-IVFPQ-96B,96,4,0.5748,500932.0434730682,502.47320079803467,96
FAISS-GPU-IVFPQ-96B,96,8,0.617,324260.0695786625,502.47320079803467,96
FAISS-GPU-IVFPQ-96B,96,16,0.6368,184009.12520838817,502.47320079803467,96
FAISS-GPU-IVFPQ-96B,96,32,0.6452,98038.98835959048,502.47320079803467,96
FAISS-GPU-IVFPQ-96B,96,64,0.6486,51294.54927906664,502.47320079803467,96
FAISS-GPU-IVFPQ-96B,96,128,0.6494,25146.46122485686,502.47320079803467,96
