method,M,nprobe,recall,qps,build_s,bytes_per_vec
GPU-Flat,3072,0,0.9991,35034.865266710105,0.0,3072
FAISS-GPU-IVFPQ-48B,48,1,0.24420000000000003,365293.8512454276,262.14476466178894,48
FAISS-GPU-IVFPQ-48B,48,2,0.3278,333039.86025091313,262.14476466178894,48
FAISS-GPU-IVFPQ-48B,48,4,0.39239999999999997,309862.8841607565,262.14476466178894,48
FAISS-GPU-IVFPQ-48B,48,8,0.4344,171918.84248063285,262.14476466178894,48
FAISS-GPU-IVFPQ-48B,48,16,0.4591,89541.52256521925,262.14476466178894,48
FAISS-GPU-IVFPQ-48B,48,32,0.46929999999999994,52991.16877866357,262.14476466178894,48
FAISS-GPU-IVFPQ-48B,48,64,0.47350000000000003,25537.34124036483,262.14476466178894,48
FAISS-GPU-IVFPQ-48B,48,128,0.4746,12057.899018821494,262.14476466178894,48
FAISS-GPU-IVFPQ-96B,96,1,0.282,196068.81077038145,514.7673330307007,96
FAISS-GPU-IVFPQ-96B,96,2,0.3968,183574.22969187674,514.7673330307007,96
FAISS-GPU-IVFPQ-96B,96,4,0.49560000000000004,170382.41865377585,514.7673330307007,96
FAISS-GPU-IVFPQ-96B,96,8,0.5660000000000001,90864.47140381283,514.7673330307007,96
FAISS-GPU-IVFPQ-96B,96,16,0.6121000000000001,47676.089798238136,514.7673330307007,96
FAISS-GPU-IVFPQ-96B,96,32,0.6368,24887.72852150075,514.7673330307007,96
FAISS-GPU-IVFPQ-96B,96,64,0.6463,12284.377068481755,514.7673330307007,96
FAISS-GPU-IVFPQ-96B,96,128,0.6504,5873.042811014868,514.7673330307007,96
