method,bytes,nprobe,recall,qps
cuVS-IVFPQ,48,1,0.2466,975147
cuVS-IVFPQ,48,8,0.4611,510517
cuVS-IVFPQ,48,32,0.5148,187765
cuVS-IVFPQ,48,128,0.5214,54750
cuVS-IVFPQ,96,1,0.2678,812409
cuVS-IVFPQ,96,8,0.5790,411925
cuVS-IVFPQ,96,32,0.6671,166313
cuVS-IVFPQ,96,128,0.6872,49656
cuVS-IVFPQ,192,1,0.2914,777933
cuVS-IVFPQ,192,8,0.6803,364830
cuVS-IVFPQ,192,32,0.8102,139255
cuVS-IVFPQ,192,128,0.8491,40669
cuVS-IVFPQ,384,1,0.3030,545963
cuVS-IVFPQ,384,8,0.7174,232456
cuVS-IVFPQ,384,32,0.8894,76903
cuVS-IVFPQ,384,128,0.9425,20469
