dataset,d,N,M,nprobe,variant,recall,qps
vogue-768,768,932328,96,128,v16,0.9448,20473
vogue-768,768,932328,96,128,v22,0.9452,53818
openai3-1536,1536,999000,96,32,v16,0.9019,47440
openai3-3072,3072,999000,96,32,v16,0.9019,47440
openai3-3072,3072,999000,96,32,v22,0.9017,49671
openai3-3072,3072,999000,96,128,v16,0.9527,20079
openai3-3072,3072,999000,96,128,v22,0.9524,34157
arxiv-768,768,2253000,96,32,v16,0.9305,67465
arxiv-768,768,2253000,96,32,v22,0.9306,69024
arxiv-768,768,2253000,96,128,v16,0.9552,20224
arxiv-768,768,2253000,96,128,v22,0.9553,38686
