# {"commit": "f222690", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T21:43:03Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.3870,0.00000,727691,76927,10.57,7098,2543,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6093,0.00000,394513,6824,1.73,6946,2391,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6429,0.00000,157422,1289,0.82,6948,2489,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 64, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6512,0.00000,86935,2835,3.26,6946,2362,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6531,0.00000,46903,2379,5.07,6948,2428,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6514,0.00000,24779,238,0.96,6946,2416,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.4453,0.00000,708141,13044,1.84,7266,3985,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.7580,0.00000,330354,3255,0.99,7262,2950,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.8280,0.00000,124114,501,0.40,7266,3982,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 64, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.8410,0.00000,69729,176,0.25,7266,2887,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.8499,0.00000,36972,184,0.50,7264,2862,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.8511,0.00000,19027,121,0.64,7268,3854,,ok,
cuVS-IVFPQ,384B,arxiv-768,768,2253000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.4799,0.00000,496498,14894,3.00,7912,7324,,ok,
cuVS-IVFPQ,384B,arxiv-768,768,2253000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.8256,0.00000,204054,2332,1.14,7910,7315,,ok,
cuVS-IVFPQ,384B,arxiv-768,768,2253000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.9211,0.00000,66093,5261,7.96,7918,7211,,ok,
cuVS-IVFPQ,384B,arxiv-768,768,2253000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 64, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.9391,0.00000,35884,1161,3.23,7918,7332,,ok,
cuVS-IVFPQ,384B,arxiv-768,768,2253000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.9467,0.00000,18612,126,0.68,8054,7229,,ok,
cuVS-IVFPQ,384B,arxiv-768,768,2253000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.9511,0.00000,9536,9,0.10,7914,7300,,ok,
