# {"commit": "f222690", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T22:40:24Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
ivfpq,"{'n_lists': 8192, 'pq_dim': 128, 'pq_bits': 8, 'n_probes': 8}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 128}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 128, 'pq_bits': 8, 'n_probes': 32}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 128}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 128, 'pq_bits': 8, 'n_probes': 128}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 128}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 128, 'pq_bits': 8, 'n_probes': 256}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 128}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 256, 'pq_bits': 8, 'n_probes': 8}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 256}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 256, 'pq_bits': 8, 'n_probes': 32}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 256}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 256, 'pq_bits': 8, 'n_probes': 128}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 256}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 256, 'pq_bits': 8, 'n_probes': 256}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 256}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 512, 'pq_bits': 8, 'n_probes': 8}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 512}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
ivfpq,"{'n_lists': 8192, 'pq_dim': 512, 'pq_bits': 8, 'n_probes': 32}",bge-m3,1024,10091524,"{""n_lists"": 8192, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 512}",{},0,,,,0,0,,,,FAILED,"[[-1, [""OutOfMemoryError: Out of memory allocating 41,334,882,304 bytes (allocated so far: 0 bytes)."", ""device free 30.86 GiB of 31.36 GiB at failure; dataset 10091524 x 1024 fp32 = 38.50 GiB""]]]"
