# {"commit": "f222690", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T21:58:11Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.4511,0.00000,692911,64394,9.29,6176,2124,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6091,0.00000,293289,3728,1.27,6026,1846,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6355,0.00000,104361,660,0.63,6026,1954,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 64, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6365,0.00000,56581,275,0.49,6026,1682,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6379,0.00000,29161,285,0.98,6026,1958,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6320,0.00000,14822,69,0.46,6026,1658,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.4900,0.00000,685995,13830,2.02,6158,2982,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.7004,0.00000,272331,2602,0.96,6160,2907,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.7532,0.00000,94958,387,0.41,6158,3003,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 64, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.7619,0.00000,49917,537,1.08,6158,2932,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.7649,0.00000,25730,286,1.11,6158,3045,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.7723,0.00000,13100,45,0.34,6160,3026,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.5187,0.00000,560771,8712,1.55,6444,3957,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.7777,0.00000,195435,38038,19.46,6444,3949,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.8572,0.00000,71597,159,0.22,6444,3946,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 64, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.8740,0.00000,37443,804,2.15,6452,4042,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.8875,0.00000,19063,248,1.30,6442,3981,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 384}",{},5,0.8884,0.00000,9610,35,0.36,6446,3947,,ok,
