# {"commit": "f222690", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T22:20:26Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},5,0.8777,0.00000,131461,1379,1.05,12008,13225,,ok,
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},5,0.8867,0.00000,115944,1110,0.96,11840,13343,,ok,
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},5,0.9395,0.00000,70464,275,0.39,11840,13379,,ok,
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},5,0.9433,0.00000,68171,178,0.26,11840,13411,,ok,
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},5,0.9641,0.00000,37536,450,1.20,11840,13231,,ok,
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},5,0.9676,0.00000,37387,663,1.77,11840,13081,,ok,
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},5,0.9804,0.00000,20443,174,0.85,11840,13405,,ok,
cuVS-CAGRA,12416B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12416, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},5,0.9801,0.00000,20239,89,0.44,11840,13264,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},5,0.9203,0.00000,64879,2305,3.55,11962,17314,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},5,0.9310,0.00000,64315,194,0.30,11962,17195,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},5,0.9540,0.00000,36268,91,0.25,11962,17492,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},5,0.9604,0.00000,35854,80,0.22,11962,17428,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},5,0.9756,0.00000,19339,138,0.71,11962,17364,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},5,0.9751,0.00000,19152,76,0.40,11962,16913,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},5,0.9856,0.00000,10296,19,0.18,11962,17605,,ok,
cuVS-CAGRA,12544B,openai3-3072,3072,999000,"{""bytes_per_vec"": 12544, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},5,0.9863,0.00000,10192,122,1.20,11962,17138,,ok,
