# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T02:11:42Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.8605,0.00000,421948,31299,7.42,3188,12789,,ok,
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.8736,0.00000,396695,5843,1.47,3052,12589,,ok,
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9195,0.00000,254162,2201,0.87,3052,12684,,ok,
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9235,0.00000,247268,2733,1.11,3052,12520,,ok,
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9437,0.00000,142397,1462,1.03,3052,13516,,ok,
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9466,0.00000,141085,998,0.71,3052,12230,,ok,
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9573,0.00000,75553,248,0.33,3052,12502,,ok,
cuVS-CAGRA-int8,3200B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9567,0.00000,76547,318,0.42,3052,12828,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.9101,0.00000,243117,2387,0.98,3174,16849,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.9095,0.00000,232763,1738,0.75,3174,16525,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9375,0.00000,135238,1156,0.86,3174,17446,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9398,0.00000,131530,1696,1.29,3174,17675,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9534,0.00000,72920,644,0.88,3174,17579,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9543,0.00000,67022,4573,6.82,3174,17887,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9622,0.00000,38844,183,0.47,3174,18149,,ok,
cuVS-CAGRA-int8,3328B,openai3-3072,3072,999000,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9601,0.00000,39107,281,0.72,3174,19062,,ok,
