# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T02:03:38Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,openai3-3072,3072,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.5401,0.00000,173276,5143,2.97,352,8412,,ok,
cuVS-IVFPQ,96B,openai3-3072,3072,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.5465,0.00000,58932,194,0.33,218,6726,,ok,
cuVS-IVFPQ,96B,openai3-3072,3072,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.5523,0.00000,16046,172,1.07,218,7627,,ok,
cuVS-IVFPQ,96B,openai3-3072,3072,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.5496,0.00000,8055,52,0.65,218,6111,,ok,
cuVS-IVFPQ,192B,openai3-3072,3072,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.6334,0.00000,167488,962,0.57,348,7870,,ok,
cuVS-IVFPQ,192B,openai3-3072,3072,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.6610,0.00000,55282,240,0.43,350,6804,,ok,
cuVS-IVFPQ,192B,openai3-3072,3072,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.6605,0.00000,14807,202,1.36,352,7487,,ok,
cuVS-IVFPQ,192B,openai3-3072,3072,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.6598,0.00000,7489,14,0.19,350,6836,,ok,
cuVS-IVFPQ,384B,openai3-3072,3072,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.7039,0.00000,146326,1350,0.92,630,8680,,ok,
cuVS-IVFPQ,384B,openai3-3072,3072,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.7619,0.00000,49211,110,0.22,636,8810,,ok,
cuVS-IVFPQ,384B,openai3-3072,3072,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.7806,0.00000,12897,482,3.74,634,8087,,ok,
cuVS-IVFPQ,384B,openai3-3072,3072,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.7856,0.00000,6577,12,0.18,632,8551,,ok,
cuVS-IVFPQ,768B,openai3-3072,3072,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.7750,0.00000,84548,257,0.30,1460,14381,,ok,
cuVS-IVFPQ,768B,openai3-3072,3072,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.8616,0.00000,26559,21,0.08,1456,15869,,ok,
cuVS-IVFPQ,768B,openai3-3072,3072,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.8947,0.00000,5985,1143,19.09,1454,14235,,ok,
cuVS-IVFPQ,768B,openai3-3072,3072,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.9054,0.00000,2763,140,5.07,1458,13396,,ok,
