# {"commit": "7298f5c", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T21:28:24Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},5,0.8672,0.00000,447030,21732,4.86,2992,5606,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},5,0.8704,0.00000,399869,6974,1.74,2848,5308,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 4}",{},5,0.8784,0.00000,383824,5048,1.32,2848,5326,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},5,0.9339,0.00000,251897,3310,1.31,2848,5978,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},5,0.9395,0.00000,251811,2438,0.97,2848,5837,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 4}",{},5,0.9404,0.00000,237617,1363,0.57,2848,6051,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},5,0.9730,0.00000,141732,361,0.25,2848,5792,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},5,0.9755,0.00000,140855,1091,0.77,2848,5837,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 4}",{},5,0.9726,0.00000,137198,685,0.50,2848,5645,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},5,0.9880,0.00000,73827,180,0.24,2848,5645,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},5,0.9897,0.00000,75400,117,0.16,2848,5671,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 4}",{},5,0.9892,0.00000,74873,188,0.25,2848,5712,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 512, ""k"": 10, ""search_width"": 1}",{},5,0.9964,0.00000,36050,309,0.86,2848,5631,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 512, ""k"": 10, ""search_width"": 2}",{},5,0.9962,0.00000,38658,69,0.18,2848,6043,,ok,
cuVS-CAGRA,3200B,vogue-768,768,932328,"{""bytes_per_vec"": 3200, ""graph_degree"": 32, ""itopk_size"": 512, ""k"": 10, ""search_width"": 4}",{},5,0.9957,0.00000,39838,277,0.69,2848,5557,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},5,0.9393,0.00000,244626,6189,2.53,2962,9086,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},5,0.9437,0.00000,238744,1826,0.76,2962,9609,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 4}",{},5,0.9446,0.00000,220547,1648,0.75,2962,9772,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},5,0.9750,0.00000,135691,775,0.57,2962,9566,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},5,0.9730,0.00000,133913,1123,0.84,2962,9240,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 4}",{},5,0.9787,0.00000,130147,326,0.25,2962,8908,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},5,0.9915,0.00000,73292,197,0.27,2962,9005,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},5,0.9897,0.00000,72201,157,0.22,2962,9560,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 4}",{},5,0.9910,0.00000,71606,194,0.27,2962,9148,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},5,0.9959,0.00000,38455,74,0.19,2962,9107,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},5,0.9960,0.00000,38087,118,0.31,2962,9189,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 4}",{},5,0.9966,0.00000,38021,87,0.23,2962,9024,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 512, ""k"": 10, ""search_width"": 1}",{},5,0.9982,0.00000,19460,130,0.67,2962,9287,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 512, ""k"": 10, ""search_width"": 2}",{},5,0.9981,0.00000,20072,143,0.71,2962,8964,,ok,
cuVS-CAGRA,3328B,vogue-768,768,932328,"{""bytes_per_vec"": 3328, ""graph_degree"": 64, ""itopk_size"": 512, ""k"": 10, ""search_width"": 4}",{},5,0.9976,0.00000,20237,73,0.36,2962,9165,,ok,
