# {"commit": "7298f5c", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T21:32:45Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},5,0.8377,0.00000,988171,215846,21.84,942,5587,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},5,0.8386,0.00000,1094364,38713,3.54,112,4955,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 4}",{},5,0.8541,0.00000,972470,30961,3.18,112,5780,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},5,0.9023,0.00000,543449,24762,4.56,112,5431,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},5,0.9050,0.00000,694040,14969,2.16,112,5993,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 4}",{},5,0.9098,0.00000,709264,17047,2.40,112,5637,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},5,0.9295,0.00000,335656,18488,5.51,112,5493,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},5,0.9309,0.00000,412582,5439,1.32,112,5641,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 4}",{},5,0.9331,0.00000,423755,13393,3.16,112,5471,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},5,0.9398,0.00000,188507,2207,1.17,112,5391,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},5,0.9408,0.00000,221469,4288,1.94,112,6307,,ok,
