# {"commit": "7298f5c", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-01T21:25:17Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.2717,0.00000,803426,53296,6.63,3014,1419,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 4, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.4981,0.00000,575063,10437,1.81,2874,1157,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.5780,0.00000,380758,79163,20.79,2872,1443,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 16, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6411,0.00000,266381,1316,0.49,2870,2530,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6721,0.00000,162663,1249,0.77,2872,1152,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 64, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6909,0.00000,70684,27081,38.31,2872,1163,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6915,0.00000,47963,405,0.84,2872,1167,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96}",{},5,0.6889,0.00000,25390,330,1.30,2872,1241,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 1, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.2935,0.00000,783116,17252,2.20,2994,2551,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 4, ""pq_bits"": 8, ""pq_dim"": 192}",{},5,0.5728,0.00000,517340,5578,1.08,2990,2572,,ok,
