# Where alpha's knee sits and what moves it, 2026-09-04 (asg25). Two ways to vary
# the parallelism available to refinement on one card: queries in flight (batch),
# and block width (BLOCK), which with K_LOCAL=4 caps the retained candidates at
# 4*BLOCK -- past that ck is unreachable and alpha cannot help.
set,block,batch,alpha,ck,recall,qps
vogue,1024,1,2,20,0.7703,881
vogue,1024,1,4,40,0.8536,869
vogue,1024,1,8,80,0.8955,860
vogue,1024,1,16,160,0.9147,841
vogue,1024,1,32,320,0.9210,791
vogue,1024,1,64,640,0.9228,719
vogue,1024,1,100,1000,0.9230,655
vogue,1024,1,200,2000,0.9231,627
vogue,1024,16,2,20,0.7702,6406
vogue,1024,16,4,40,0.8536,6205
vogue,1024,16,8,80,0.8955,5906
vogue,1024,16,16,160,0.9147,5878
vogue,1024,16,32,320,0.9210,5764
vogue,1024,16,64,640,0.9228,5503
vogue,1024,16,100,1000,0.9229,5202
vogue,1024,16,200,2000,0.9231,4512
vogue,1024,256,2,20,0.7702,61734
vogue,1024,256,4,40,0.8536,62030
vogue,1024,256,8,80,0.8955,62160
vogue,1024,256,16,160,0.9147,61917
vogue,1024,256,32,320,0.9210,62126
vogue,1024,256,64,640,0.9228,61500
vogue,1024,256,100,1000,0.9229,56603
vogue,1024,256,200,2000,0.9231,52580
vogue,1024,4096,2,20,0.7702,21253
vogue,1024,4096,4,40,0.8536,20981
vogue,1024,4096,8,80,0.8955,20617
vogue,1024,4096,16,160,0.9147,20621
vogue,1024,4096,32,320,0.9210,20438
vogue,1024,4096,64,640,0.9228,19459
vogue,1024,4096,100,1000,0.9229,17538
vogue,1024,4096,200,2000,0.9231,15382
stella,1024,1,2,20,0.8924,512
stella,1024,1,4,40,0.9326,514
stella,1024,1,8,80,0.9391,511
stella,1024,1,16,160,0.9405,510
stella,1024,1,32,320,0.9406,505
stella,1024,1,64,640,0.9406,492
stella,1024,1,100,1000,0.9406,476
stella,1024,1,200,2000,0.9406,474
stella,1024,256,2,20,0.8924,34457
stella,1024,256,4,40,0.9326,34467
stella,1024,256,8,80,0.9391,34662
stella,1024,256,16,160,0.9405,34563
stella,1024,256,32,320,0.9406,34480
stella,1024,256,64,640,0.9406,33892
stella,1024,256,100,1000,0.9406,33039
stella,1024,256,200,2000,0.9406,31296
stella,1024,4096,2,20,0.8924,20862
stella,1024,4096,4,40,0.9326,20793
stella,1024,4096,8,80,0.9391,20760
stella,1024,4096,16,160,0.9405,20621
stella,1024,4096,32,320,0.9406,20298
stella,1024,4096,64,640,0.9406,19556
stella,1024,4096,100,1000,0.9406,18493
stella,1024,4096,200,2000,0.9406,16849
vogue,128,1024,2,20,0.7700,21758
vogue,128,1024,8,80,0.8921,21466
vogue,128,1024,32,320,0.9135,21327
vogue,128,1024,64,640,0.9143,20982
vogue,128,1024,100,1000,0.9143,20788
vogue,128,1024,200,2000,0.9143,20773
vogue,256,1024,2,20,0.7703,41384
vogue,256,1024,8,80,0.8945,40896
vogue,256,1024,32,320,0.9189,39977
vogue,256,1024,64,640,0.9206,38402
vogue,256,1024,100,1000,0.9206,36546
vogue,256,1024,200,2000,0.9206,36400
vogue,512,1024,2,20,0.7703,70881
vogue,512,1024,8,80,0.8954,69125
vogue,512,1024,32,320,0.9206,66923
vogue,512,1024,64,640,0.9224,63144
vogue,512,1024,100,1000,0.9225,58700
vogue,512,1024,200,2000,0.9225,49777
vogue,1024,1024,2,20,0.7702,101058
vogue,1024,1024,8,80,0.8955,99697
vogue,1024,1024,32,320,0.9210,96477
vogue,1024,1024,64,640,0.9228,91201
vogue,1024,1024,100,1000,0.9229,85513
vogue,1024,1024,200,2000,0.9231,73451
stella,128,1024,2,20,0.8924,15145
stella,128,1024,8,80,0.9390,15080
stella,128,1024,32,320,0.9404,14858
stella,128,1024,64,640,0.9404,14726
stella,128,1024,100,1000,0.9404,14737
stella,128,1024,200,2000,0.9404,14778
stella,256,1024,2,20,0.8924,28247
stella,256,1024,8,80,0.9391,28144
stella,256,1024,32,320,0.9406,27671
stella,256,1024,64,640,0.9406,27029
stella,256,1024,100,1000,0.9406,26095
stella,256,1024,200,2000,0.9406,26000
stella,512,1024,2,20,0.8924,45848
stella,512,1024,8,80,0.9391,45876
stella,512,1024,32,320,0.9406,44233
stella,512,1024,64,640,0.9406,42845
stella,512,1024,100,1000,0.9406,40871
stella,512,1024,200,2000,0.9406,35939
stella,1024,1024,2,20,0.8924,42858
stella,1024,1024,8,80,0.9391,42822
stella,1024,1024,32,320,0.9406,42306
stella,1024,1024,64,640,0.9406,41403
stella,1024,1024,100,1000,0.9406,40201
stella,1024,1024,200,2000,0.9406,37310
