method,ck,probed,rerank_r,recall,qps,build_time
HBlock-v21 (Vogue-768),1,1,64,0.3474,419672.0,4.7941
HBlock-v21 (Vogue-768),2,8,64,0.7954,173711.0,4.7941
HBlock-v21 (Vogue-768),3,27,64,0.9511,97544.0,4.7941
HBlock-v21 (Vogue-768),4,64,64,0.9675,63542.0,4.7941
HBlock-v21 (Vogue-768),5,125,125,0.9938,26685.0,4.7941
HBlock-v21 (Vogue-768),6,216,128,0.9937,18879.0,4.7941
HBlock-v21 (Vogue-768),7,343,128,0.9917,15281.0,4.7941
HBlock-v21 (Vogue-768),8,512,128,0.9862,12719.0,4.7941
HBlock-v21 (Vogue-768),10,1000,128,0.9812,8675.0,4.7941
HBlock-v21 (Vogue-768),12,1728,128,0.9602,6046.0,4.7941
