ef,seed_per_block,nq,visited_blocks_per_query,valid_candidates_per_query,seeds_per_query,tau_u_mean,tau_seed_mean,tau_ratio_mean,survivors_per_block,p50_survivors_block,p90_survivors_block,p99_survivors_block,blocks_over_16_pct,nonseed_survivors_per_query,total_exact_per_query,baseline_exact_per_query,exact_ratio_mean,exact_ratio_p50,exact_ratio_p90,queries_better_than_baseline_pct,queries_with_insufficient_seeds,candidate_set_top10_agreement
32,1,1000,32.0000,3398.1230,32.0000,0.950002,0.667326,0.781930,67.3456,74.0000,128.0000,128.0000,70.9469,2129.9770,2161.9770,511.7110,4.225071,4.685547,7.763672,19.0000,0,42.0000
32,2,1000,32.0000,3398.1230,64.0000,0.950002,0.642293,0.751133,64.0959,66.0000,128.0000,128.0000,67.9750,2003.4160,2067.4160,511.7110,4.040256,4.414062,7.728516,21.0000,0,37.0000
32,4,1000,32.0000,3398.1230,128.0000,0.950002,0.630812,0.737181,62.6898,63.0000,128.0000,128.0000,66.7281,1914.7940,2042.7940,511.7110,3.992084,4.218750,7.685547,21.4000,0,33.0000
32,8,1000,32.0000,3398.1230,255.9770,0.950002,0.626196,0.731226,62.2176,62.0000,128.0000,128.0000,66.2219,1815.8020,2071.7790,511.7110,4.048711,4.214844,7.625000,20.4000,0,33.0000
64,1,1000,64.0000,6771.9500,64.0000,0.932962,0.640897,0.766552,61.2652,58.0000,128.0000,128.0000,64.8172,3874.2490,3938.2490,1023.4000,3.848014,3.784180,7.708008,24.8000,0,44.0000
64,2,1000,64.0000,6771.9500,128.0000,0.932962,0.622823,0.743376,58.8786,52.0000,128.0000,128.0000,62.4562,3679.5070,3807.5070,1023.4000,3.720269,3.485352,7.696289,26.1000,0,40.0000
64,4,1000,64.0000,6771.9500,256.0000,0.932962,0.613587,0.731824,57.7632,48.0000,128.0000,128.0000,61.3937,3527.5290,3783.5290,1023.4000,3.696851,3.347656,7.650391,26.5000,0,37.0000
64,8,1000,64.0000,6771.9500,511.9640,0.932962,0.610095,0.727254,57.3955,47.0000,128.0000,128.0000,61.0094,3349.3750,3861.3390,1023.4000,3.772889,3.433594,7.665039,23.8000,0,37.0000
128,1,1000,128.0000,13473.1680,128.0000,0.920218,0.623002,0.757349,56.0718,42.0000,128.0000,128.0000,60.1914,7088.9870,7216.9870,2046.5220,3.526146,3.146973,7.576660,27.8000,0,46.0000
128,2,1000,128.0000,13473.1680,256.0000,0.920218,0.606782,0.736229,54.0665,36.0000,128.0000,128.0000,57.9586,6753.5030,7009.5030,2046.5220,3.424765,2.935059,7.535156,29.8000,0,40.0000
128,4,1000,128.0000,13473.1680,512.0000,0.920218,0.599316,0.726703,53.1214,34.0000,128.0000,128.0000,57.0359,6481.5370,6993.5370,2046.5220,3.416937,2.870605,7.498047,29.2000,0,41.0000
128,8,1000,128.0000,13473.1680,1023.9100,0.920218,0.596664,0.722976,52.7811,32.0000,128.0000,128.0000,56.6320,6150.1330,7174.0430,2046.5220,3.505140,2.906738,7.513672,26.9000,0,44.0000
256,1,1000,256.0000,26790.4990,256.0000,0.909163,0.607839,0.749693,51.8488,30.0000,128.0000,128.0000,55.3297,13110.6200,13366.6200,4092.0520,3.265203,2.562744,7.629639,34.2000,0,51.0000
256,2,1000,256.0000,26790.4990,512.0000,0.909163,0.592899,0.729894,49.9945,24.0000,128.0000,128.0000,53.3152,12492.0970,13004.0970,4092.0520,3.176614,2.414062,7.590576,35.8000,0,49.0000
256,4,1000,256.0000,26790.4990,1023.9970,0.909163,0.587061,0.722197,49.2730,22.0000,128.0000,128.0000,52.5922,12029.5780,13053.5750,4092.0520,3.188724,2.350586,7.582031,34.7000,0,50.0000
256,8,1000,256.0000,26790.4990,2047.7560,0.909163,0.585091,0.718995,48.9859,22.0000,128.0000,128.0000,52.2988,11425.4890,13473.2450,4092.0520,3.291316,2.437500,7.572510,32.1000,0,57.0000
