search_mode,eps_mode,ef,recall@10,latency_ms,qps,surv_per_block,blocks_gt16_pct
FIXED_PER_BLOCK,,8,0.7088,2.04,490234,,
FIXED_PER_BLOCK,,16,0.8363,2.43,411708,,
FIXED_PER_BLOCK,,32,0.9271,3.26,307028,,
FIXED_PER_BLOCK,,64,0.9733,4.76,209999,,
FIXED_PER_BLOCK,,128,0.9905,7.76,128939,,
FIXED_PER_BLOCK,,256,0.9968,13.90,71952,,
CORRECTED_FIXED,,8,0.7011,2.02,494501,,
CORRECTED_FIXED,,16,0.8316,2.49,401393,,
CORRECTED_FIXED,,32,0.9240,3.45,289493,,
CORRECTED_FIXED,,64,0.9689,5.18,192986,,
CORRECTED_FIXED,,128,0.9896,8.49,117768,,
CORRECTED_FIXED,,256,0.9956,15.50,64518,,
CERTIFIED_PRR,VECTOR_LEVEL,8,0.6928,2.19,457478,90.3,97.3
CERTIFIED_PRR,VECTOR_LEVEL,16,0.8243,2.75,364057,83.8,94.5
CERTIFIED_PRR,VECTOR_LEVEL,32,0.9217,3.83,260806,77.3,89.8
CERTIFIED_PRR,VECTOR_LEVEL,64,0.9690,5.79,172793,71.1,84.2
CERTIFIED_PRR,VECTOR_LEVEL,128,0.9905,9.51,105109,65.0,77.4
CERTIFIED_PRR,VECTOR_LEVEL,256,0.9969,16.86,59295,59.1,70.4
