method,nprobe,recall,qps,build_time
JHQ-CPU-IVF,1,0.966,5002.6,43.11
JHQ-CPU-IVF,2,0.995,5705.7,43.11
JHQ-CPU-IVF,4,0.9994,6519.2,43.11
JHQ-CPU-IVF,8,1.0,3119.4,43.11
JHQ-CPU-IVF,16,1.0,2714.6,43.11
JHQ-CPU-IVF,32,1.0,1505.3,43.11
JHQ-CPU-IVF,64,1.0,804.1,43.11
JHQ-CPU-IVF,128,1.0,436.6,43.11
JQ-CPU-IVF,1,0.813,35046.7,43.11
JQ-CPU-IVF,2,0.8717,17683.1,43.11
JQ-CPU-IVF,4,0.8943,5417.4,43.11
JQ-CPU-IVF,8,0.9027,4045.9,43.11
JQ-CPU-IVF,16,0.9068,2749.7,43.11
JQ-CPU-IVF,32,0.9069,1505.6,43.11
JQ-CPU-IVF,64,0.9075,814.7,43.11
JQ-CPU-IVF,128,0.9076,423.2,43.11
