method,nprobe,recall,qps,build_time
JHQ-CPU-IVF,1,0.7947,3375.4,144.35
JHQ-CPU-IVF,2,0.917,3102.0,144.35
JHQ-CPU-IVF,4,0.9718,1956.5,144.35
JHQ-CPU-IVF,8,0.9912,1071.7,144.35
JHQ-CPU-IVF,16,0.9972,558.9,144.35
JHQ-CPU-IVF,32,0.9985,296.3,144.35
JHQ-CPU-IVF,64,0.9991,151.3,144.35
JHQ-CPU-IVF,128,0.999,66.3,144.35
JQ-CPU-IVF,1,0.679,4806.9,144.35
JQ-CPU-IVF,2,0.7879,3197.7,144.35
JQ-CPU-IVF,4,0.8403,1914.7,144.35
JQ-CPU-IVF,8,0.869,1058.4,144.35
JQ-CPU-IVF,16,0.8819,580.1,144.35
JQ-CPU-IVF,32,0.8888,300.4,144.35
JQ-CPU-IVF,64,0.8923,154.5,144.35
JQ-CPU-IVF,128,0.8937,65.9,144.35
