method,nprobe,recall,qps,build_time
JHQ-CPU-IVF,1,0.8403,8887.9,55.42
JHQ-CPU-IVF,2,0.9426,5014.0,55.42
JHQ-CPU-IVF,4,0.9793,4773.2,55.42
JHQ-CPU-IVF,8,0.9952,3927.6,55.42
JHQ-CPU-IVF,16,0.999,2723.3,55.42
JHQ-CPU-IVF,32,0.9997,1696.4,55.42
JHQ-CPU-IVF,64,1.0,939.1,55.42
JHQ-CPU-IVF,128,1.0,491.0,55.42
JQ-CPU-IVF,1,0.7844,26962.7,55.42
JQ-CPU-IVF,2,0.8805,10166.6,55.42
JQ-CPU-IVF,4,0.924,7348.6,55.42
JQ-CPU-IVF,8,0.949,4102.8,55.42
JQ-CPU-IVF,16,0.9602,2941.7,55.42
JQ-CPU-IVF,32,0.9661,1651.0,55.42
JQ-CPU-IVF,64,0.9694,947.3,55.42
JQ-CPU-IVF,128,0.9705,497.2,55.42
