method,nprobe,recall,qps,build_time
JHQ-CPU-IVF,1,0.8879,2283.9,238.55
JHQ-CPU-IVF,2,0.972,2075.5,238.55
JHQ-CPU-IVF,4,0.9952,1151.1,238.55
JHQ-CPU-IVF,8,0.9993,607.3,238.55
JHQ-CPU-IVF,16,0.9994,324.2,238.55
JHQ-CPU-IVF,32,0.9995,164.6,238.55
JHQ-CPU-IVF,64,0.9995,72.7,238.55
JHQ-CPU-IVF,128,0.9995,36.6,238.55
JQ-CPU-IVF,1,0.7873,3027.1,238.55
JQ-CPU-IVF,2,0.8747,2055.5,238.55
JQ-CPU-IVF,4,0.9087,1160.0,238.55
JQ-CPU-IVF,8,0.9182,621.0,238.55
JQ-CPU-IVF,16,0.9194,329.9,238.55
JQ-CPU-IVF,32,0.9199,168.1,238.55
JQ-CPU-IVF,64,0.9199,73.2,238.55
JQ-CPU-IVF,128,0.9199,36.8,238.55
