method,nprobe,recall,qps,build_time
JHQ-GPU-v4-Batched,1.0,0.9452,9480.0,27.3395
JHQ-GPU-v4-Batched,1.5,0.9898,9457.0,27.7566
JHQ-GPU-v4-Batched,2.0,0.9951,9466.0,27.282400000000003
JHQ-GPU-v4-Batched,3.0,0.9977,9167.0,27.253
JHQ-GPU-v4-Batched,4.0,0.9982,9451.0,27.328400000000002
JHQ-GPU-v4-Batched,6.0,0.9989,9457.0,27.4752
JHQ-GPU-v4-Batched,8.0,0.999,9427.0,27.265100000000004
JHQ-GPU-v4-Batched,12.0,0.9992,9326.0,27.3723
JHQ-GPU-v4-Batched,16.0,0.9992,9408.0,27.330299999999998
JHQ-GPU-v4-Batched,32.0,0.9992,9361.0,27.6048
