# {"commit": "d380aed", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-11T03:01:12Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 376678, ""qps_xfer"": 236059, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5834,0.00000,258657,85098,32.90,512,7965,,CONTAMINATED,"[[-2, [""QPS spread 32.9% against 0.02-0.64% on an idle card""]]]"
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 154951, ""qps_xfer"": 140165, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6308,0.00000,140181,1810,1.29,376,7022,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 48834, ""qps_xfer"": 47110, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6465,0.00000,47111,239,0.51,376,6753,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 25971, ""qps_xfer"": 24977, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6472,0.00000,24977,33,0.13,376,6211,,ok,
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 12879, ""qps_xfer"": 12439, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6517,0.00000,12477,825,6.61,376,6578,,CONTAMINATED,"[[-2, [""QPS spread 6.6% against 0.02-0.64% on an idle card""]]]"
cuVS-IVFPQ,96B,arxiv-768,768,2253000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 6740, ""qps_xfer"": 6707, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6532,0.00000,6707,4,0.07,378,5946,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 364521, ""qps_xfer"": 295464, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.7263,0.00000,295632,8570,2.90,676,6811,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 140351, ""qps_xfer"": 129516, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8112,0.00000,129523,1108,0.86,680,6366,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 43891, ""qps_xfer"": 41531, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8430,0.00000,41532,247,0.59,676,6723,,ok,
cuVS-IVFPQ,192B,arxiv-768,768,2253000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 22196, ""qps_xfer"": 21516, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8505,0.00000,21517,210,0.98,678,6752,,ok,
