# {"commit": "edd2fa2", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-11T03:16:02Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,128B,bge-m3,1024,10091524,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 199053, ""qps_xfer"": 176962, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.5277,0.00000,177061,5086,2.87,2290,41828,,ok,
cuVS-IVFPQ,128B,bge-m3,1024,10091524,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 104819, ""qps_xfer"": 97297, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.6296,0.00000,97303,923,0.95,2150,31587,,ok,
cuVS-IVFPQ,128B,bge-m3,1024,10091524,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 35913, ""qps_xfer"": 33142, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.6793,0.00000,33241,2181,6.56,2154,31636,,CONTAMINATED,"[[-2, [""QPS spread 6.6% against 0.02-0.64% on an idle card""]]]"
cuVS-IVFPQ,128B,bge-m3,1024,10091524,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 19045, ""qps_xfer"": 18588, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.7019,0.00000,18588,19,0.10,2154,31936,,ok,
cuVS-IVFPQ,128B,bge-m3,1024,10091524,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 9778, ""qps_xfer"": 9643, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.7083,0.00000,9643,101,1.05,2150,29760,,ok,
cuVS-IVFPQ,128B,bge-m3,1024,10091524,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 5046, ""qps_xfer"": 5011, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.7171,0.00000,5011,5,0.10,2154,33047,,ok,
cuVS-IVFPQ,256B,bge-m3,1024,10091524,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 186339, ""qps_xfer"": 163217, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.5897,0.00000,163292,4261,2.61,3928,32769,,ok,
cuVS-IVFPQ,256B,bge-m3,1024,10091524,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 82621, ""qps_xfer"": 84831, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.7218,0.00000,84836,850,1.00,3924,34443,,ok,
cuVS-IVFPQ,256B,bge-m3,1024,10091524,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 30852, ""qps_xfer"": 29522, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.8024,0.00000,29522,162,0.55,3920,34429,,ok,
cuVS-IVFPQ,256B,bge-m3,1024,10091524,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 15695, ""qps_xfer"": 15794, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.8264,0.00000,15794,52,0.33,3924,33470,,ok,
cuVS-IVFPQ,256B,bge-m3,1024,10091524,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 8259, ""qps_xfer"": 8089, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.8479,0.00000,8092,184,2.28,3922,35586,,ok,
cuVS-IVFPQ,256B,bge-m3,1024,10091524,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 4187, ""qps_xfer"": 4174, ""timing"": ""xfer"", ""trainset_fraction"": 0.05}",{},3,0.8609,0.00000,4174,15,0.36,3924,35112,,ok,
