# {"commit": "d380aed", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-11T03:05:54Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 267818, ""qps_xfer"": 223613, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5399,0.00000,223857,8971,4.01,392,9347,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 99006, ""qps_xfer"": 92087, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5695,0.00000,92098,1238,1.34,256,7814,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 29198, ""qps_xfer"": 26418, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5782,0.00000,26539,2144,8.08,258,4617,,CONTAMINATED,"[[-2, [""QPS spread 8.1% against 0.02-0.64% on an idle card""]]]"
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 14543, ""qps_xfer"": 14717, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5860,0.00000,14718,98,0.66,256,8980,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 7644, ""qps_xfer"": 7544, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5856,0.00000,7544,9,0.13,256,5499,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 3858, ""qps_xfer"": 3839, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5875,0.00000,3839,1,0.02,256,4834,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 216596, ""qps_xfer"": 209523, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6179,0.00000,209758,8488,4.05,388,5574,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 80089, ""qps_xfer"": 85162, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6884,0.00000,85166,745,0.88,390,5559,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 27011, ""qps_xfer"": 26212, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.7182,0.00000,26212,57,0.22,386,7683,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 8192, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 13874, ""qps_xfer"": 11862, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.7286,0.00000,12214,2391,19.58,388,6128,,CONTAMINATED,"[[-2, [""QPS spread 19.6% against 0.02-0.64% on an idle card""]]]"
