# {"commit": "edd2fa2", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-11T03:23:39Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 198649, ""qps_xfer"": 175576, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.6861,0.00000,175614,3164,1.80,3730,67274,,ok,
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 107698, ""qps_xfer"": 99521, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.7185,0.00000,99528,993,1.00,3600,56867,,ok,
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 36904, ""qps_xfer"": 35384, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.7249,0.00000,35385,181,0.51,3602,55649,,ok,
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 19684, ""qps_xfer"": 19216, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.7263,0.00000,19216,19,0.10,3596,55721,,ok,
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 9949, ""qps_xfer"": 10034, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.7222,0.00000,10034,36,0.36,3604,57698,,ok,
cuVS-IVFPQ,128B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 128, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 128, ""qps_device"": 5221, ""qps_xfer"": 5180, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.7253,0.00000,5180,6,0.12,3602,55734,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 183868, ""qps_xfer"": 163177, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.8092,0.00000,163199,2296,1.41,6744,60592,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 90032, ""qps_xfer"": 83160, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.8647,0.00000,83207,2405,2.89,6734,58859,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 30762, ""qps_xfer"": 29414, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.8789,0.00000,29415,98,0.33,6746,58460,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 16148, ""qps_xfer"": 15762, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.8816,0.00000,15762,42,0.27,6734,58027,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 8384, ""qps_xfer"": 7933, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.8816,0.00000,7945,373,4.69,6728,59449,,ok,
cuVS-IVFPQ,256B,stella-trec24,1024,17776615,"{""bytes_per_vec"": 256, ""k"": 10, ""n_lists"": 32768, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 256, ""qps_device"": 4227, ""qps_xfer"": 4205, ""timing"": ""xfer"", ""trainset_fraction"": 0.02}",{},3,0.8823,0.00000,4205,1,0.03,6738,61492,,ok,
