# {"commit": "f106357", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-11T02:45:47Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 403596, ""qps_xfer"": 326185, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5447,0.00000,326541,13062,4.00,282,3038,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 160370, ""qps_xfer"": 145723, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6573,0.00000,145741,1968,1.35,148,2513,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 49489, ""qps_xfer"": 47586, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6862,0.00000,47587,100,0.21,148,2603,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 25652, ""qps_xfer"": 24726, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6924,0.00000,24737,638,2.58,146,3648,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 13386, ""qps_xfer"": 13150, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6893,0.00000,13150,17,0.13,148,2940,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 6878, ""qps_xfer"": 6864, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6958,0.00000,6864,16,0.23,148,3475,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 212970, ""qps_xfer"": 310077, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6344,0.00000,310258,9109,2.94,268,3838,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 145318, ""qps_xfer"": 132225, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.7852,0.00000,132240,1710,1.29,268,5577,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 43860, ""qps_xfer"": 41515, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8406,0.00000,41515,41,0.10,266,3894,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 2048, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 20083, ""qps_xfer"": 21964, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8532,0.00000,21966,256,1.17,260,2914,,ok,
