# {"commit": "d380aed", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-11T02:57:52Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 401522, ""qps_xfer"": 326278, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5198,0.00000,326709,14414,4.41,298,3681,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 160259, ""qps_xfer"": 147165, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6378,0.00000,147171,1129,0.77,164,3111,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 47786, ""qps_xfer"": 47767, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6852,0.00000,47768,131,0.27,164,4073,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 19683, ""qps_xfer"": 25471, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6837,0.00000,25471,42,0.16,162,3562,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 13373, ""qps_xfer"": 13138, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6950,0.00000,13138,56,0.43,162,3059,,ok,
cuVS-IVFPQ,96B,vogue-768,768,932328,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 96, ""qps_device"": 6755, ""qps_xfer"": 6688, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6933,0.00000,6688,7,0.11,164,4497,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 389202, ""qps_xfer"": 304472, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.5906,0.00000,304947,14588,4.78,282,4881,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 143053, ""qps_xfer"": 130562, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.7560,0.00000,130584,2067,1.58,280,4554,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 43395, ""qps_xfer"": 25307, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8351,0.00000,32316,15649,48.43,282,5670,,CONTAMINATED,"[[-2, [""QPS spread 48.4% against 0.02-0.64% on an idle card""]]]"
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 21902, ""qps_xfer"": 18029, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8480,0.00000,19254,5441,28.26,284,4618,,CONTAMINATED,"[[-2, [""QPS spread 28.3% against 0.02-0.64% on an idle card""]]]"
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 512, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 8556, ""qps_xfer"": 11348, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8536,0.00000,11348,64,0.57,284,4449,,ok,
cuVS-IVFPQ,192B,vogue-768,768,932328,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 1024, ""pq_bits"": 8, ""pq_dim"": 192, ""qps_device"": 5936, ""qps_xfer"": 5730, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8539,0.00000,5736,214,3.73,282,4386,,ok,
cuVS-IVFPQ,384B,vogue-768,768,932328,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 384, ""qps_device"": 235631, ""qps_xfer"": 203930, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.6133,0.00000,204001,4603,2.26,526,7819,,ok,
cuVS-IVFPQ,384B,vogue-768,768,932328,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 384, ""qps_device"": 83644, ""qps_xfer"": 78958, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.8154,0.00000,78968,1090,1.38,528,7920,,ok,
cuVS-IVFPQ,384B,vogue-768,768,932328,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 384, ""qps_device"": 22976, ""qps_xfer"": 22485, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.9203,0.00000,22485,29,0.13,524,8356,,ok,
cuVS-IVFPQ,384B,vogue-768,768,932328,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 4096, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 384, ""qps_device"": 11643, ""qps_xfer"": 11496, ""timing"": ""xfer"", ""trainset_fraction"": 0.0}",{},3,0.9389,0.00000,11497,107,0.93,526,7892,,ok,
