# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T01:56:38Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.8822,0.00000,243338,8825,3.63,6116,7703,,ok,
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.8892,0.00000,184901,13862,7.50,5980,10005,,ok,
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9407,0.00000,136615,263,0.19,5980,9977,,ok,
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9405,0.00000,135004,488,0.36,5980,10392,,ok,
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9673,0.00000,75951,280,0.37,5980,10030,,ok,
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9671,0.00000,74520,304,0.41,5980,10221,,ok,
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9793,0.00000,40696,65,0.16,5980,9947,,ok,
cuVS-CAGRA,6272B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6272, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9816,0.00000,40267,104,0.26,5980,10385,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.9323,0.00000,120923,14409,11.92,6102,13548,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.9349,0.00000,124365,1735,1.40,6102,13332,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9590,0.00000,71192,510,0.72,6102,12960,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9586,0.00000,65381,1953,2.99,6102,13526,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9763,0.00000,38614,64,0.16,6102,13224,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9743,0.00000,38059,61,0.16,6102,13996,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9856,0.00000,20559,36,0.17,6102,13579,,ok,
cuVS-CAGRA,6400B,openai3-1536,1536,999000,"{""bytes_per_vec"": 6400, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9844,0.00000,20481,44,0.22,6102,13393,,ok,
