# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T01:59:55Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.8644,0.00000,708467,89384,12.62,1722,7262,,ok,
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.8829,0.00000,707149,22404,3.17,1584,6920,,ok,
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9239,0.00000,469251,23261,4.96,1584,7669,,ok,
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9274,0.00000,455378,9567,2.10,1584,7061,,ok,
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9439,0.00000,274196,4394,1.60,1584,6803,,ok,
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9487,0.00000,269335,6186,2.30,1584,6788,,ok,
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9543,0.00000,153653,808,0.53,1584,7289,,ok,
cuVS-CAGRA-int8,1664B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1664, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9598,0.00000,151576,3150,2.08,1584,6701,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.9153,0.00000,454513,7902,1.74,1706,10553,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.9186,0.00000,425551,20361,4.78,1706,10339,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9383,0.00000,266875,2950,1.11,1706,12059,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9415,0.00000,246488,14308,5.80,1706,10781,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9518,0.00000,146505,1593,1.09,1706,11249,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9545,0.00000,144276,463,0.32,1706,11956,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9610,0.00000,79560,180,0.23,1706,11282,,ok,
cuVS-CAGRA-int8,1792B,openai3-1536,1536,999000,"{""bytes_per_vec"": 1792, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9609,0.00000,79668,203,0.26,1706,11137,,ok,
