# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T01:54:20Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.6146,0.00000,284102,11217,3.95,306,3677,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.6328,0.00000,105524,312,0.30,172,3320,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.6352,0.00000,29726,313,1.05,170,3983,,ok,
cuVS-IVFPQ,96B,openai3-1536,1536,999000,"{""bytes_per_vec"": 96, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 96}",{},3,0.6345,0.00000,14941,197,1.32,170,3458,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.6968,0.00000,271715,2021,0.74,306,4763,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.7476,0.00000,96017,210,0.22,304,5255,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.7615,0.00000,26355,401,1.52,302,5027,,ok,
cuVS-IVFPQ,192B,openai3-1536,1536,999000,"{""bytes_per_vec"": 192, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 192}",{},3,0.7728,0.00000,13216,128,0.97,300,4720,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.7786,0.00000,215319,1336,0.62,592,6057,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.8547,0.00000,73993,760,1.03,596,8553,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.8881,0.00000,19532,811,4.15,596,6817,,ok,
cuVS-IVFPQ,384B,openai3-1536,1536,999000,"{""bytes_per_vec"": 384, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 384}",{},3,0.8885,0.00000,9687,82,0.85,592,6638,,ok,
cuVS-IVFPQ,768B,openai3-1536,1536,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 8, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.8129,0.00000,75327,561,0.74,1410,16443,,ok,
cuVS-IVFPQ,768B,openai3-1536,1536,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 32, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.9089,0.00000,25268,250,0.99,1430,13462,,ok,
cuVS-IVFPQ,768B,openai3-1536,1536,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 128, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.9541,0.00000,6726,138,2.05,1416,13835,,ok,
cuVS-IVFPQ,768B,openai3-1536,1536,999000,"{""bytes_per_vec"": 768, ""k"": 10, ""n_lists"": 1024, ""n_probes"": 256, ""pq_bits"": 8, ""pq_dim"": 768}",{},3,0.9627,0.00000,3248,99,3.04,1422,15797,,ok,
