# {"commit": "305e763", "cuvs": "26.08.01", "dirty": "yes", "driver": "595.71.05", "gpu": "NVIDIA GeForce RTX 5090", "host_cores": "208", "nvcc": "Build cuda_13.0.r13.0/compiler.36424714_0", "utc": "2026-09-02T01:41:03Z"}
method,variant,dataset,d,N,params,env,n_runs,recall,recall_spread,qps_mean,qps_std,qps_rel_std_pct,vram_mib,train_ms,add_ms,status,failures
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.8372,0.00000,998929,155063,15.52,934,5447,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.8356,0.00000,1059600,35108,3.31,796,5956,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9040,0.00000,667372,14033,2.10,796,5733,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9037,0.00000,700716,16590,2.37,796,5654,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9337,0.00000,349278,5734,1.64,796,5244,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9310,0.00000,412460,18709,4.54,796,5869,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9400,0.00000,188385,5110,2.71,796,5760,,ok,
cuVS-CAGRA-int8,896B,vogue-768,768,932328,"{""bytes_per_vec"": 896, ""graph_degree"": 32, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9405,0.00000,223529,2305,1.03,796,5541,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 1}",{},3,0.9028,0.00000,739148,29525,3.99,910,8808,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 32, ""k"": 10, ""search_width"": 2}",{},3,0.9005,0.00000,738238,18818,2.55,910,9224,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 1}",{},3,0.9305,0.00000,444072,6193,1.39,910,9522,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 64, ""k"": 10, ""search_width"": 2}",{},3,0.9291,0.00000,464664,8713,1.88,910,8918,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 1}",{},3,0.9407,0.00000,225894,2153,0.95,910,9129,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 128, ""k"": 10, ""search_width"": 2}",{},3,0.9404,0.00000,248451,2127,0.86,910,9004,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 1}",{},3,0.9450,0.00000,122978,311,0.25,910,8801,,ok,
cuVS-CAGRA-int8,1024B,vogue-768,768,932328,"{""bytes_per_vec"": 1024, ""graph_degree"": 64, ""itopk_size"": 256, ""k"": 10, ""search_width"": 2}",{},3,0.9443,0.00000,136832,781,0.57,910,8634,,ok,
