method,prefix,nprobe,recall,qps
JHQ-v22,1/1,1,0.4645,73662
JHQ-v22,1/1,4,0.6666,79109
JHQ-v22,1/1,8,0.7647,79585
JHQ-v22,1/1,16,0.8403,76925
JHQ-v22,1/1,32,0.8989,67765
JHQ-v22,1/1,64,0.9288,55429
JHQ-v22,1/1,128,0.9452,37407
JHQ-v22,1/1,256,0.9508,21969
JHQ-v22,1/2,1,0.4645,116822
JHQ-v22,1/2,4,0.6666,118546
JHQ-v22,1/2,8,0.7647,115113
JHQ-v22,1/2,16,0.8403,105673
JHQ-v22,1/2,32,0.8989,98638
JHQ-v22,1/2,64,0.9288,78936
JHQ-v22,1/2,128,0.9452,53818
JHQ-v22,1/2,256,0.9508,30722
JHQ-v22,1/3,1,0.4633,143531
JHQ-v22,1/3,4,0.6654,143623
JHQ-v22,1/3,8,0.7635,132118
JHQ-v22,1/3,16,0.8391,122517
JHQ-v22,1/3,32,0.8977,110633
JHQ-v22,1/4,32,0.8956,117066
JHQ-v22,1/4,64,0.9252,97205
JHQ-v22,1/4,128,0.9413,67718
JHQ-v22,1/4,256,0.9467,38144
