method,nprobe,recall,qps,build_time,pre_v15_score

JHQ-GPU-v15-EvalFix,1,0.4546,20612.0,26.525299999999998,0.8862

JHQ-GPU-v15-EvalFix,2,0.5419,17799.0,26.525299999999998,0.9591

JHQ-GPU-v15-EvalFix,4,0.6426,16035.0,26.525299999999998,0.9907

JHQ-GPU-v15-EvalFix,8,0.7292,16845.0,26.525299999999998,0.9982

JHQ-GPU-v15-EvalFix,16,0.792,16688.0,26.525299999999998,1.0

JHQ-GPU-v15-EvalFix,32,0.8402,16095.0,26.525299999999998,1.0

JHQ-GPU-v15-EvalFix,64,0.8622,14828.0,26.525299999999998,1.0

JHQ-GPU-v15-EvalFix,128,0.8764,11031.0,26.525299999999998,1.0
